Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
PTEN,Kidney_Chromophobe,6,4,6,4
TP53,Kidney_Chromophobe,27,6,22,6
