Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
MUC16,Lung_Squamous_Cell_Carcinoma,424,28,233,24
TP53,Lung_Squamous_Cell_Carcinoma,431,108,401,108
LRP1B,Lung_Squamous_Cell_Carcinoma,290,28,188,27
CSMD3,Lung_Squamous_Cell_Carcinoma,359,40,227,39
FAT1,Lung_Squamous_Cell_Carcinoma,87,33,75,30
TTN,Lung_Squamous_Cell_Carcinoma,1147,75,376,69
PTEN,Lung_Squamous_Cell_Carcinoma,57,27,53,27
CDKN2A,Lung_Squamous_Cell_Carcinoma,78,38,76,38
KMT2D,Lung_Squamous_Cell_Carcinoma,134,63,110,58
