Site,Winter_Longitude,Winter_Latitude,Stopover_Longitude,Stopover_Latitude
Vomb,-12.70813164,10.43643889,-7.19642313202409,40.148478982756
Vomb,-11.27929327,7.111185305,-8.32029870927648,31.5842382612719
Vomb,-10.62419555,11.01012744,-4.41478497108876,34.2054807640129
Vomb,-11.40107127,12.49045401,-2.26173100800516,33.3758949762562
Vomb,-12.90574938,8.010117642,-5.01535554752184,34.2383371395217
Vomb,-13.23043826,10.36005007,0.60969665817821606,42.78392262668
Vomb,-10.00059211,9.524719158,11.092115083675,45.0524079718335
Vomb,-11.72473266,9.761893416,-3.56021575367544,34.3268044289677
Vomb,-11.50671989,7.573827486,-6.32849159814763,37.8467616312484
Vomb,-6.652654057,7.582997553,-4.88376010794182,35.2111263855355
Vomb,-11.2556507,9.82791231,-6.79410833115619,30.2458792061754
Vomb,-10.89030659,6.596143356,2.39174569140486,44.2026808085282
Vomb,-12.78151165,8.751514304,2.96445108727301,35.77830440013
Vomb,-10.0478379,10.394357,-2.72400463768993,35.8314651302545
Vomb,-14.85180204,11.03147503,-0.146626166262099,40.5223497738845
Norway,-13.54433034,9.659171117,-7.90192148099239,32.1219772559453
Tomsk,14.54214107,2.848717567,14.0587896460418,25.1516430116994
Tomsk,19.89818012,9.068152111,8.80962459006884,33.6643846150502
Tomsk,19.46320043,9.688226572,23.0677819944557,37.9187003318577
Tomsk,15.33062531,5.414167831,10.616567444662,36.1937576940386
Tomsk,12.8394168,6.381966027,14.3388701453327,31.7828689916662
Tomsk,18.21363128,7.170797486,34.4034311646195,50.1276313370986
Ural,9.195511887,4.093563298,26.8662850971156,44.1337139073988
Moscow,-4.405705107,9.259115066,-1.57059492371539,34.521678633352
Moscow,-6.754876086,9.951783364,3.64745169591912,33.8541055265674
Moscow,-9.514717655,9.088931204,3.04211936033532,34.8767819101335
Moscow,12.7426662,5.95890454,10.0925419595989,33.1613573640413
Dartmoor,-10.97996035,8.667609124,NA,NA
Dartmoor,-8.602874462,14.75982103,-7.54601817899217,22.4502230448063
Dartmoor,-13.03625883,9.520968221,-7.76500539203343,40.282238592491
Dartmoor,-10.61027527,7.752926298,-7.46161229463531,33.3442372068364
Dartmoor,-10.6732849,8.133863401,NA,NA
Dartmoor,-8.863264467,8.548031344,-9.98887151060585,23.9434114834113
Dartmoor,-10.99458041,11.49465864,NA,NA
Dartmoor,-9.770850206,6.197175592,NA,NA
Dartmoor,-7.994689659,5.638283733,-5.3089774447618,39.4082325813249
Dartmoor,-9.044955223,7.693814721,-6.45851309883191,34.5276209394679
Dartmoor,-10.57051903,8.343574562,-5.4435573029538,41.8450710160363
Dartmoor,-10.09036683,13.46387125,-2.48815244560558,33.8670433217545
Dartmoor,-10.69627153,6.625222479,-6.01112977450074,39.9659195801897
Dartmoor,-10.88227193,6.492101191,-8.745070658754,28.872523342922
Dartmoor,-10.99171414,20.48544153,-5.28060095238125,25.8057516101124
Dartmoor,-11.42097295,10.09847991,-7.83763428904929,32.9514903273421
Dartmoor,-9.0084559380000009,5.524048161,-5.18158041747123,41.1868978850386
Dartmoor,-10.87956779,8.344625989,-8.39880900140657,32.2278489775165
Dartmoor,-8.61520571,10.47909111,NA,NA
Dartmoor,-10.61085043,10.07553767,-0.500245287478441,41.849667162318
Dartmoor,-10.58016263,10.39536165,-2.47267391177687,41.2522015196619
Dartmoor,-7.719070183,4.522977196,1.23399239830512,46.9307111516747
Dartmoor,-11.27388017,9.124944529,NA,NA
Dartmoor,-7.596565016,4.524341468,NA,NA
Dartmoor,-10.13829059,7.739915191,NA,NA
Dartmoor,-10.96120786,6.39465809,-8.68149855953734,29.1709135607976
Dartmoor,-9.054686056,9.409902885,-9.008435770034,30.9693053728704
Dartmoor,-10.45599374,6.202209436,-8.92489047760828,32.047847229732
Dartmoor,-11.15824443,8.559578948,-10.7812156931203,28.9008272565793
Dartmoor,-10.39369117,9.392219945,-9.10375885991615,29.6574580375754
Dartmoor,-9.465428308,8.912838929,-1.84951124719664,43.2603616935786
Dartmoor,-10.26507115,9.898770045,-5.70416039184648,40.0621577755409
Dartmoor,-7.896303618,4.395697781,NA,NA
Drenthe,-7.133873107,7.892854051,-3.88685727442347,23.1740575946627
Drenthe,-8.671955783,7.035856261,-5.41978782124893,38.176599817951
Drenthe,-7.474111607,11.09334397,-5.96082124578375,25.6675421071811
Drenthe,-7.412945538,10.27134792,-0.443080799016709,42.6736957852576
Drenthe,-6.309958357,5.260798909,-7.01745729160403,40.4463382704721
Drenthe,-7.350694273,6.301700553,NA,NA
Drenthe,-5.47535477,5.597069645,-7.5669942608365,40.4437526933828
Drenthe,-6.256238919,9.703173479,NA,NA
Drenthe,-5.921926872,9.425423829,-0.437402426958191,45.8071968721159
Drenthe,-5.80789389,13.4817809,-0.165937234643692,27.5261158519053
Drenthe,-6.855286562,11.41905993,1.57906563442423,31.3890278072724
Drenthe,-6.243608788,6.31065317,-4.99207574613278,34.6966425135952
Drenthe,-5.68736323,6.196545877,23.8575480747205,40.9751685292092
Drenthe,-5.352212536,7.645377458,7.92823847652112,48.342653226081
Drenthe,-6.275395613,8.046343646,NA,NA
Drenthe,-4.074797131,14.73775475,6.53616015886691,30.8817265509025
Drenthe,-8.308372276,5.820103534,NA,NA
Drenthe,-7.270465452,15.30036796,-3.71464804947823,34.3509150915235
Drenthe,-5.486968361,10.64617695,-4.22461345178243,38.1812277373381
Drenthe,-6.378542969,11.51602859,-8.33285300191343,27.3346255841166
Drenthe,-7.284254524,9.543831521,3.59382241283635,46.9495296349216
Drenthe,-5.776844008,11.26446373,NA,NA
Drenthe,-7.592270541,10.13458089,-2.38388590935717,34.1465113596985
Drenthe,-8.603030475,8.128546581,12.883245401455,42.321258523191
Drenthe,-7.792573215,11.97139355,-3.2948254481709,33.5702975012368
Drenthe,-6.630762321,11.46002685,-3.40887719844818,34.5675064862684
Drenthe,-6.672908877,8.499054189,NA,NA
Drenthe,-6.313162193,8.041251333,0.0783593666028866,33.9420768589152
Drenthe,-8.169212052,6.897382834,-4.32107863553654,27.4736765956211
Drenthe,-8.65007697,8.360606218,-9.15910243184842,30.4614534678748
Drenthe,-7.980660552,13.58279805,6.04870320508953,21.6424461152851
Drenthe,-6.794266417,12.0968521,-6.90482017393684,24.2264535306628
Drenthe,-7.659592234,9.547194408,4.93893779158987,46.3828176604121
Drenthe,-6.748576795,8.097583995,NA,NA
