Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
INPPL1,Uterine_Corpus_Endometrial_Carcinoma,119,39,70,33
NSD1,Uterine_Corpus_Endometrial_Carcinoma,169,39,85,32
TNRC18,Uterine_Corpus_Endometrial_Carcinoma,147,29,74,25
SYNE1,Uterine_Corpus_Endometrial_Carcinoma,523,46,117,37
UNC79,Uterine_Corpus_Endometrial_Carcinoma,190,24,69,22
PIK3R1,Uterine_Corpus_Endometrial_Carcinoma,224,117,151,96
NBEA,Uterine_Corpus_Endometrial_Carcinoma,277,42,90,30
TTC3,Uterine_Corpus_Endometrial_Carcinoma,134,24,66,23
ARHGAP35,Uterine_Corpus_Endometrial_Carcinoma,169,65,98,60
ROCK1,Uterine_Corpus_Endometrial_Carcinoma,131,28,63,25
ATRX,Uterine_Corpus_Endometrial_Carcinoma,323,34,88,29
COL11A1,Uterine_Corpus_Endometrial_Carcinoma,194,24,75,22
SI,Uterine_Corpus_Endometrial_Carcinoma,205,22,75,22
MUC16,Uterine_Corpus_Endometrial_Carcinoma,717,61,134,39
WDR52,Uterine_Corpus_Endometrial_Carcinoma,99,30,50,25
CAMSAP2,Uterine_Corpus_Endometrial_Carcinoma,115,25,72,24
PCLO,Uterine_Corpus_Endometrial_Carcinoma,316,53,95,41
VPS13A,Uterine_Corpus_Endometrial_Carcinoma,186,35,71,29
WDR87,Uterine_Corpus_Endometrial_Carcinoma,253,35,81,30
BRCA2,Uterine_Corpus_Endometrial_Carcinoma,222,31,76,27
KMT2B,Uterine_Corpus_Endometrial_Carcinoma,235,61,108,51
DST,Uterine_Corpus_Endometrial_Carcinoma,572,53,110,36
FAT4,Uterine_Corpus_Endometrial_Carcinoma,403,35,107,30
ZNF292,Uterine_Corpus_Endometrial_Carcinoma,195,47,87,39
ALS2CR11,Uterine_Corpus_Endometrial_Carcinoma,143,23,65,22
C5orf42,Uterine_Corpus_Endometrial_Carcinoma,160,28,60,23
CCDC73,Uterine_Corpus_Endometrial_Carcinoma,113,46,50,32
CHD3,Uterine_Corpus_Endometrial_Carcinoma,131,33,81,29
EYS,Uterine_Corpus_Endometrial_Carcinoma,278,34,85,29
ZDBF2,Uterine_Corpus_Endometrial_Carcinoma,166,33,56,26
USP9X,Uterine_Corpus_Endometrial_Carcinoma,230,29,85,23
ZFHX4,Uterine_Corpus_Endometrial_Carcinoma,471,35,116,32
SYNE2,Uterine_Corpus_Endometrial_Carcinoma,330,41,96,35
PTEN,Uterine_Corpus_Endometrial_Carcinoma,578,260,281,206
MAP3K1,Uterine_Corpus_Endometrial_Carcinoma,89,34,60,31
MKI67,Uterine_Corpus_Endometrial_Carcinoma,251,27,85,27
HMCN1,Uterine_Corpus_Endometrial_Carcinoma,388,36,92,27
ARID4B,Uterine_Corpus_Endometrial_Carcinoma,127,31,78,28
EP300,Uterine_Corpus_Endometrial_Carcinoma,150,31,77,27
XIRP2,Uterine_Corpus_Endometrial_Carcinoma,330,43,83,28
CTCF,Uterine_Corpus_Endometrial_Carcinoma,162,73,113,68
SACS,Uterine_Corpus_Endometrial_Carcinoma,339,48,84,30
AKAP9,Uterine_Corpus_Endometrial_Carcinoma,216,41,81,28
DNAH6,Uterine_Corpus_Endometrial_Carcinoma,249,38,80,32
