"sample_id","occurrence_id","taxon_group","taxon_source","english_name","source_taxon_version_key","order","family","floral_unit","total_floral_units","year"
6415979,"11200882","flowering plant","Ranunculus","Buttercup","NHMSYS0000462231","Ranunculales","Ranunculaceae","individual flower",1,2019
6421580,"11210479","flowering plant","Lotus corniculatus","Common Bird's-foot-trefoil","NBNSYS0000003258","Fabales","Fabaceae","individual flower",10,2019
6421580,"11210480","flowering plant","Prunella vulgaris","Selfheal","NBNSYS0000004225","Lamiales","Lamiaceae","flower spike",5,2019
6421580,"11210481","flowering plant","Filipendula ulmaria","Meadowsweet","NBNSYS0000003316","Rosales","Rosaceae","flower umbel",3,2019
6421580,"11210482","flowering plant","Cirsium arvense","Creeping Thistle","NBNSYS0000004492","Asterales","Asteraceae","flower head",1,2019
6421580,"11210483","flowering plant","Rubus fruticosus agg.","Bramble","NBNSYS0000003328","Rosales","Rosaceae","individual flower",2,2019
6421860,"11210858","flowering plant","Rubus fruticosus agg.","Bramble","NBNSYS0000003328","Rosales","Rosaceae","individual flower",10,2019
6421860,"11210859","flowering plant","Achillea millefolium","Yarrow","NBNSYS0000004451","Asterales","Asteraceae","flower umbel",3,2019
6421860,"11210860","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",6,2019
6421860,"11210861","flowering plant","Jacobaea vulgaris","Common Ragwort","NHMSYS0021241522","Asterales","Asteraceae","flower head",46,2019
6421860,"11210862","flowering plant","Stellaria",,"NHMSYS0000464003","Caryophyllales","Caryophyllaceae","individual flower",4,2019
6439036,"11238819","flowering plant","Achillea millefolium","Yarrow","NBNSYS0000004451","Asterales","Asteraceae","flower umbel",25,2019
6439056,"11238850","flowering plant","Chamerion angustifolium","Rosebay Willowherb","NBNSYS0000003598","Myrtales","Onagraceae","flower spike",50,2019
6448486,"11256857","flowering plant","Ranunculus repens","Creeping Buttercup","NBNSYS0000002709","Ranunculales","Ranunculaceae","individual flower",9,2019
6448486,"11256858","flowering plant","Cerastium fontanum","Common Mouse-ear","NBNSYS0000003022","Caryophyllales","Caryophyllaceae","individual flower",37,2019
6448486,"11256859","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",8,2019
6448486,"11256860","flowering plant","Bellis perennis","Daisy","NBNSYS0000004445","Asterales","Asteraceae","flower head",2,2019
6448486,"11256861","flowering plant","Hypochaeris radicata","Cat's-ear","NBNSYS0000004518","Asterales","Asteraceae","flower head",3,2019
6448486,"11256862","flowering plant","Rumex acetosa subsp. acetosa","Common Sorrel","NHMSYS0000462957","Caryophyllales","Polygonaceae","flower spike",2,2019
6448487,"11256863","flowering plant","Cerastium fontanum","Common Mouse-ear","NBNSYS0000003022","Caryophyllales","Caryophyllaceae","flower head",106,2019
6448487,"11256864","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",18,2019
6448487,"11256865","flowering plant","Prunella vulgaris","Selfheal","NBNSYS0000004225","Lamiales","Lamiaceae","flower head",1,2019
6448487,"11256866","flowering plant","Bellis perennis","Daisy","NBNSYS0000004445","Asterales","Asteraceae","flower head",1,2019
6448489,"11256868","flowering plant","Ranunculus repens","Creeping Buttercup","NBNSYS0000002709","Ranunculales","Ranunculaceae","individual flower",3,2019
6448492,"11256870","flowering plant","Matricaria discoidea","Pineappleweed","NBNSYS0000004462","Asterales","Asteraceae","flower head",108,2019
6448492,"11256871","flowering plant","Ranunculus repens","Creeping Buttercup","NBNSYS0000002709","Ranunculales","Ranunculaceae","individual flower",1,2019
6448492,"11256872","flowering plant","Cerastium fontanum","Common Mouse-ear","NBNSYS0000003022","Caryophyllales","Caryophyllaceae","individual flower",5,2019
6448492,"11256873","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",4,2019
6449290,"11258747","flowering plant","Erica tetralix","Cross-leaved Heath","NBNSYS0000003903","Ericales","Ericaceae","flower spike",11,2019
6455008,"11270135","flowering plant","Erica tetralix","Cross-leaved Heath","NBNSYS0000003903","Ericales","Ericaceae","flower head",52,2019
6455008,"11270136","flowering plant","Potentilla erecta","Tormentil","NBNSYS0000003349","Rosales","Rosaceae","individual flower",49,2019
6455008,"11270137","flowering plant","Drosera rotundifolia","Round-leaved Sundew","NBNSYS0000003519","Caryophyllales","Droseraceae","flower spike",1,2019
6455032,"11270196","flowering plant","Potentilla erecta","Tormentil","NBNSYS0000003349","Rosales","Rosaceae","individual flower",4,2019
6455059,"11270276","flowering plant","Potentilla erecta","Tormentil","NBNSYS0000003349","Rosales","Rosaceae","individual flower",19,2019
6455059,"11270277","flowering plant","Ranunculus acris","Meadow Buttercup","NBNSYS0000002708","Ranunculales","Ranunculaceae","individual flower",129,2019
6455059,"11270278","flowering plant","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","Asterales","Asteraceae","flower head",31,2019
6455059,"11270279","flowering plant","Galium palustre","Marsh-bedstraw","NBNSYS0000004313","Gentianales","Rubiaceae","flower spike",123,2019
6455059,"11270280","flowering plant","Conopodium majus","Pignut","NBNSYS0000003681","Apiales","Apiaceae","flower umbel",31,2019
6455089,"11270371","flowering plant","Potentilla erecta","Tormentil","NBNSYS0000003349","Rosales","Rosaceae","individual flower",5,2019
6455089,"11270372","flowering plant","Ranunculus acris","Meadow Buttercup","NBNSYS0000002708","Ranunculales","Ranunculaceae","individual flower",29,2019
6455089,"11270373","flowering plant","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","Asterales","Asteraceae","flower head",119,2019
6455089,"11270374","flowering plant","Galium palustre","Marsh-bedstraw","NBNSYS0000004313","Gentianales","Rubiaceae","flower spike",23,2019
6455089,"11270375","flowering plant","Conopodium majus","Pignut","NBNSYS0000003681","Apiales","Apiaceae","flower umbel",44,2019
6455089,"11270376","flowering plant","Hypochaeris radicata","Cat's-ear","NBNSYS0000004518","Asterales","Asteraceae","flower head",1,2019
6455089,"11270377","flowering plant","Euphrasia","Eyebright","NHMSYS0000458644","Lamiales","Orobanchaceae","flower spike",15,2019
6455089,"11270378","flowering plant","Prunella vulgaris","Selfheal","NBNSYS0000004225","Lamiales","Lamiaceae","flower head",4,2019
6455089,"11270379","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",10,2019
6455089,"11270380","flowering plant","Galium saxatile","Heath Bedstraw","NBNSYS0000004310","Gentianales","Rubiaceae","flower spike",7,2019
6455089,"11270381","flowering plant","Plantago lanceolata","Ribwort Plantain","NBNSYS0000004275","Lamiales","Plantaginaceae","flower spike",20,2019
6455160,"11270454","flowering plant","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","Asterales","Asteraceae","flower head",103,2019
6455160,"11270455","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",16,2019
6455160,"11270456","flowering plant","Galium saxatile","Heath Bedstraw","NBNSYS0000004310","Gentianales","Rubiaceae","flower spike",7,2019
6455160,"11270457","flowering plant","Ranunculus repens","Creeping Buttercup","NBNSYS0000002709","Ranunculales","Ranunculaceae","individual flower",27,2019
6455160,"11270458","flowering plant","Cerastium fontanum","Common Mouse-ear","NBNSYS0000003022","Caryophyllales","Caryophyllaceae","individual flower",46,2019
6456201,"11272441","flowering plant","Ranunculus","Buttercup","NHMSYS0000462231","Ranunculales","Ranunculaceae","individual flower",23,2019
6456201,"11272443","flowering plant","Trifolium","Clover","NHMSYS0000464558","Fabales","Fabaceae","flower head",20,2019
6456201,"11272444","flowering plant","Senecio","Ragwort","NHMSYS0000463420","Asterales","Asteraceae","flower head",5,2019
6456290,"11272545","flowering plant","Leucanthemum vulgare","Oxeye Daisy","NBNSYS0000004464","Asterales","Asteraceae","flower head",1,2019
6456290,"11272546","flowering plant","Rubus","Bramble","NHMSYS0000462570","Rosales","Rosaceae","individual flower",28,2019
6456290,"11272547","flowering plant","Epilobium","Willowherb","NHMSYS0000458391","Myrtales","Onagraceae","individual flower",16,2019
6456319,"11272656","flowering plant","Lysimachia vulgaris","Yellow Loosestrife","NBNSYS0000003936","Ericales","Primulaceae","flower spike",30,2019
6456329,"11272697","flowering plant","Ranunculus","Buttercup","NHMSYS0000462231","Ranunculales","Ranunculaceae","individual flower",38,2019
6456329,"11272698","flowering plant","Cirsium","Thistle","NHMSYS0000457339","Asterales","Asteraceae","flower head",25,2019
6456342,"11272728","flowering plant","Trifolium","Clover","NHMSYS0000464558","Fabales","Fabaceae","flower head",12,2019
6518475,"11389535","flowering plant","Urtica dioica","Common Nettle","NBNSYS0000003807","Rosales","Urticaceae","flower spike",66,2019
6518475,"11389538","flowering plant","Galium aparine","Cleavers","NBNSYS0000004319","Gentianales","Rubiaceae","individual flower",30,2019
6518475,"11389540","flowering plant","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","Asterales","Asteraceae","individual flower",3,2019
6522080,"11396519","flowering plant","Urtica dioica","Common Nettle","NBNSYS0000003807","Rosales","Urticaceae","flower spike",15,2019
6522080,"11396523","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",1,2019
6526510,"11405050","flowering plant","Ranunculus","Buttercup","NHMSYS0000462231","Ranunculales","Ranunculaceae","individual flower",1,2019
6526510,"11405052","flowering plant","Digitalis purpurea","Foxglove","NBNSYS0000004094","Lamiales","Plantaginaceae","individual flower",1,2019
