species,english_name,order,family,genus,mean_dry_mass,mean_intertegular_distance
Hylaeus dilatatus,Chalk Yellow-face Bee,Hymenoptera,Colletidae,Hylaeus,5.596,1.306057
Syrphus rectus,NA,Diptera,Syrphidae,Syrphus,NA,NA
Lasioglossum calceatum,Slender Mining Bee,Hymenoptera,Halictidae,Lasioglossum,6.902732178571429,1.7330855785714285
Eristalis abusivus,NA,Diptera,Syrphidae,Eristalis,NA,NA
Bombus lapidarius,Large Red-tailed Bumblebee,Hymenoptera,Apidae,Bombus,56.845029411764706,3.7588716617647058
Eristalis intricarius,NA,Diptera,Syrphidae,Eristalis,NA,NA
Lasioglossum morio,Brassy Mining Bee,Hymenoptera,Halictidae,Lasioglossum,1.7150400000000001,1.043156696
Bombus sylvestris,Forest Cuckoo Bumblebee,Hymenoptera,Apidae,Bombus,85.39,4.45725
Syrphus torvus,NA,Diptera,Syrphidae,Syrphus,6.771,2.488
Anasimyia transfuga,NA,Diptera,Syrphidae,Anasimyia,NA,NA
Eristalinus aeneus,NA,Diptera,Syrphidae,Eristalinus,23.271,2.9415
Andrena flavipes,Yellow Legged Mining Bee,Hymenoptera,Andrenidae,Andrena,19.88181052631579,2.3064958989473685
Colletes similis,Bare-saddled Colletes,Hymenoptera,Colletidae,Colletes,8.463,2.264333333333333
Eristalis rupium,NA,Diptera,Syrphidae,Eristalis,NA,NA
Pipizella viduata,NA,Diptera,Syrphidae,Pipizella,NA,NA
Bombus bohemicus,Gipsy Cuckoo Bee,Hymenoptera,Apidae,Bombus,42.833,3.916
Leucozona glaucia,NA,Diptera,Syrphidae,Leucozona,NA,NA
Xanthogramma pedissequum,NA,Diptera,Syrphidae,Xanthogramma,14.178666666666667,2.462
Platycheirus rosarum,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Sphaerophoria fatarum,NA,Diptera,Syrphidae,Sphaerophoria,NA,NA
Anthophora furcata,Fork Tailed Flower Bee,Hymenoptera,Apidae,Anthophora,NA,NA
Chrysotoxum festivum,NA,Diptera,Syrphidae,Chrysotoxum,NA,NA
Sphecodes crassus,Swollen-thighed Blood Bee,Hymenoptera,Halictidae,Sphecodes,8.89,1.263
Andrena bucephala,Big-headed Mining Bee,Hymenoptera,Andrenidae,Andrena,13.521,2.308
Cheilosia lasiopa,NA,Diptera,Syrphidae,Cheilosia,NA,NA
Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,Anthophora,45.060125,4.107567883333333
Xylota abiens,NA,Diptera,Syrphidae,Xylota,NA,NA
Nomada goodeniana,Gooden's Nomad Bee,Hymenoptera,Apidae,Nomada,13.976470588235294,2.0094117647058822
Nomada striata,Blunt-jawed Nomad Bee,Hymenoptera,Apidae,Nomada,NA,NA
Panurgus calcaratus,Small Shaggy Bee,Hymenoptera,Andrenidae,Panurgus,12.5,1.26
Andrena denticulata,Grey-banded Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Panurgus banksianus,Large Shaggy Bee,Hymenoptera,Andrenidae,Panurgus,14.9,2.16
Dasypoda hirtipes,Hairy Legged Mining Bee,Hymenoptera,Melittidae,Dasypoda,33.93333333333334,3.1366666666666667
Sphecodes monilicornis,Square-headed Blood Bee,Hymenoptera,Halictidae,Sphecodes,NA,NA
Bombus barbutellus,Barbut's Cuckoo Bee,Hymenoptera,Apidae,Bombus,NA,NA
Sphecodes geoffrellus,Geoffroy's Blood Bee,Hymenoptera,Halictidae,Sphecodes,NA,NA
Colletes succinctus,Heather (Girdled) Colletes,Hymenoptera,Colletidae,Colletes,NA,NA
Sphecodes niger,Dark Blood Bee,Hymenoptera,Halictidae,Sphecodes,NA,NA
Megachile versicolor,NA,Hymenoptera,Megachilidae,Megachile,NA,NA
Arctophila superbiens,NA,Diptera,Syrphidae,Arctophila,NA,NA
Dasysyrphus tricinctus,NA,Diptera,Syrphidae,Dasysyrphus,NA,NA
Bombus humilis,Brown-banded Carder Bee,Hymenoptera,Apidae,Bombus,62.739999999999995,3.9515
Neoascia meticulosa,NA,Diptera,Syrphidae,Neoascia,NA,NA
Riponnensia splendens,NA,Diptera,Syrphidae,Riponnensia,NA,NA
Andrena wilkella,Wilke's Mining Bee,Hymenoptera,Andrenidae,Andrena,16.16622222222222,2.1596479333333334
Hylaeus communis,Common Yellow Face Bee,Hymenoptera,Colletidae,Hylaeus,4.374476285714286,1.3753358857142857
Chrysogaster cemiteriorum,NA,Diptera,Syrphidae,Chrysogaster,NA,NA
