Genus,Species,Clade,Higher Group,Order,Family,Extinct,Shape,Habitat,Total Length (cm),Fork Length (cm),Precaudal Length (cm),Head Length (cm),Snout Length (cm),OOL (cm),Head Height (cm),Mouth Width (cm),Dorsoventral Body Height (cm),Mediolateral Body Width (cm),Girth (cm),Prepectoral Length (cm),Prepelvic Length (cm),Bill Length (cm),Body Mass (g),Presence of Swimbladder,Presence of Heterocercal Caudal Fin,Specimen,Ontogenetic Status,Gender,Length As,N,drop,Reference,Weight Reference,Method of Measurement,Is Body Mass Estimated,Notes
Africanaspis,dorissa,Placodermi,Arthrodira,Arthrodira,Groenlandaspidae,TRUE,fusiform,demersal,23,,,4.583,0.97957251908397,3.60342748091603,3.27,,3.51,,,6.47,,,,0,TRUE,Gess and Trinajstic 2017,,,total length,1,,Gess and Trinajstic 2017,,measured from figure/photo,,"Estimated using FishBase equation for H. portjacksoni, given similar body shapes"
Amazichthys,trinajsticae,Placodermi,Arthrodira,Arthrodira,Selenosteidae,TRUE,elongate,pelagic,89.7,,69.62,13.58,2.03,11.55,13.99,11.05,19.6,,,20.73,47.713,,,0,TRUE,AA.MEM.DS.8,,,total length,1,,Jobbins et al. 2022,,measured from figure/photo,,
Bungartius,perissus,Placodermi,Arthrodira,Arthrodira,unknown,TRUE,fusiform,pelagic,,,,40.5,12.92,27.58,26.63,18.23,40.2079326923077,26.02,,37.81,,,,0,TRUE,CMNH 7573,,,estimated t.l.,1,,"Dunkle 1947, Present Study",,mixed,,"Body depth estimated by ""re-bending"" the ventral armor back into a natural position, given how unnaturally flat it is in Dunkle 1947"
Camuropiscis,concinnus,Placodermi,Arthrodira,Arthrodira,Camuropiscidae,TRUE,fusiform,neritic,,,,6.2,1.66,4.54,,,3.63,3.63,12.97,,,,,0,TRUE,WAM P50976,,,estimated t.l.,1,,Dennis and Miles 1979,Dennis and Miles 1979,mixed,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,39.4,,26.9,7.08,0.59,6.49,5.74,6.871,7.316,8.024,24.78,6.06,15.55,,,0,TRUE,Recon. (M & W 1968),,,total length,1,,Miles and Westoll 1968,,measured from figure/photo,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,34.39,,,7.12,0.75,6.37,,,,,,,10.41,,,0,TRUE,NMS 1900.12.12,,,total length,1,,Present Study,,Measured from specimen,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,29.62,,,6.24,1.06,5.18,,,,,,,,,,0,TRUE,NMS 1893.107.27,,,total length,1,,Present Study,,Measured from specimen,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,32.27,,,6.47,1.15,5.32,,,,,,,,,,0,TRUE,NMS 1897.55.6,,,total length,1,,Present Study,,Measured from specimen,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,37.13,,23.14,6.75,1.36,5.39,,,8.21,,,7.52,15.7,,,0,TRUE,FMNH PF 1673,,,total length,1,,Present Study,,Measured from specimen,,"Depth approximated from specimen, individual is preserved on its side with the armor collapsed. Prepectoral length estimated to end of crushed pectoral fenestra. Precaudal length measured to the point where the hypurals thicken slightly, which has been suggested to be an indicator of the base of the caudal fin (Miles and Westoll 1968)"
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,37.51,,29.42,7.72,1.26,6.28,,,,,,7.52,17.09,,,0,TRUE,ROM VP 52664,,,total length,1,,Present Study,,Measured from specimen,,Photos from https://collections.rom.on.ca/objects/936986/fossil-placoderm-fish?ctx=1f18330b-4344-4150-89d5-7faea206cc70&idx=0
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,6.6,0.48,6.12,4.69,3.94,6.21,5.49,,6.12,,,,0,TRUE,WAM 70.4.263,,,estimated t.l.,1,,Gardiner and Miles 1994; Trinajstic and Hazelton 2007,,mixed,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,4.53,,,,,3.38,4.09,,,,,,0,TRUE,P50904,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,reported measurements,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,5.55,,,,,4.61,4.62,,,,,,0,TRUE,P50941,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,reported measurements,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,6.48,0.73,5.75,,,6.13,6.13,20.848,,,,,0,TRUE,P50942,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,mixed,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,4.31,,,,,3.23,3.63,,,,,,0,TRUE,P50943,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,reported measurements,,
Dickosteus,threiplandi,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,52.32,,,12.65,2.37,10.28,,,,,,,,,,0,TRUE,NHMUK PV P 49663,,,total length,1,,Present Study,,measured from specimen,,
Dickosteus,threiplandi,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,43.7,,,9.22,0.679,8.299,,,,,,,,,,0,TRUE,NMS 1987.7.118,,,total length,1,,Present Study,,measured from specimen,,2 cm added to measurable length as this specimen is missing the distal tip of tail
Draconichthys,elegans,Placodermi,Arthrodira,Arthrodira,Selenosteidae,1,fusiform,,,,,14.227,2.707,11.52,,,,7.849,,,,,,0,TRUE,SMNK-PAL 6309,,,estimated t.l.,1,,Rücklin 2011,,measured from figure/photo,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,25.76,4.02,21.74,,,,,,,,,,0,TRUE,CMNH 50322,juvenile,,estimated t.l.,1,,Johanson et al. 2019,,measured from figure/photo,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,61.3,8.8,52.5,71.89,71.63,114,95,312.7,60.82,,,,0,TRUE,CMNH 5768,,,estimated t.l.,1,,Present Study,Present Study,measured from specimen,,"Body depth may need to be adjusted. On the one hand its possible the mediodorsal and anterior dorsolateral need to come down slightly, but on the other hand the anterior lateral may need to be reconstructed  deeper. The ventral armor is also unnaturally flat, and retrodeforming it into a more natural position might also increase body depth. Regardless, the body is deep compared to other Dunkleosteus specimens, it is just by how much might be biased by the reconstructions"
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,34,5,29,28.7542372881356,29.99,38.22,39.61,147.944,21.135593220339,,,,0,TRUE,CMNH 7424,,,estimated t.l.,1,,Present Study,Present Study,measured from specimen,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,48.4,7.4,41,,,,,,,,,,0,TRUE,CMNH 5740,,,estimated t.l.,1,,Present Study,,measured from specimen,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,51,7.4,43.6,52.7377682547123,51.4,75.61,58.5,223,37.6794268304932,,,,0,TRUE,CMNH 6090,juvenile,,estimated t.l.,1,,Present Study,Present Study,measured from specimen,,"No attempt was made to retrodeform the ventral armor to account for curvature, which would be estimated to add another ~5 cm to body depth"
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,53.61,8.11,45.5,52.2,52.5,72.48,59.5,215.34,43.12,,,,0,TRUE,CMNH 7054,,,estimated t.l.,1,,Present Study,Present Study,measured from specimen,,"No attempt was made to retrodeform the ventral armor to account for curvature, which would be estimated to add another ~5 cm to body depth"
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,28.81,5.09,23.72,,,,24.5,,,,,,0,TRUE,CMNH 8982,,,estimated t.l.,1,,Present Study; Carr et al. 2010,,measured from specimen,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,30.5,2.5,28,,,,,,,,,,0,TRUE,CMNH 7639,,,estimated t.l.,1,,Present Study,,measured from specimen,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,42.11,7.55,34.56,,,,,,,,,,0,TRUE,CMNH OC 1421,,,estimated t.l.,1,,"Branson 1908, Branson 1911, present study",,mixed,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,29,3.5,25.5,,,,,,,,,,0,TRUE,CMNH 6194,juvenile,,estimated t.l.,1,,Present Study,,measured from specimen,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,56.49,10.7,45.79,,,,,,,,,,0,TRUE,CMNH 8131,,,estimated t.l.,1,,Present Study,,measured from specimen,,
Eastmanosteus,calliaspis,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,demersal,,,,13.37,1.27,12.1,,,18.725,14.098,,,,,,0,TRUE,70.4.864,,,estimated t.l.,1,,Dennis-Bryan 1987,,mixed,,
Gorgonichthys,clarki,Placodermi,Arthrodira,Arthrodira,"""Gorgonichthyidae""",1,fusiform,pelagic,,,,65.64,11.74,53.9,,,,,,,,,,0,TRUE,CMNH 5117,,,estimated t.l.,1,,Dunkle and Bungart 1940,,measured from figure/photo,,
Gymnotrachelus,hydei,Placodermi,Arthrodira,Arthrodira,Selenosteidae,1,fusiform,pelagic,,,,12.53,1.19,11.34,6.158,,8.8716,10.84,,,,,,0,TRUE,Recon. (Carr 1994),,,estimated t.l.,1,,Carr 1994,NA,measured from figure/photo,,
Hadrosteus,rapax,Placodermi,Arthrodira,Arthrodira,unknown,1,fusiform,,,,,16.85,3.582,13.268,,,17.0118,,,,,,,0,TRUE,Recon. (Gross 1932 fig. 11),,,estimated t.l.,1,,Gross 1932,,measured from figure/photo,,
Harrytoombsia,elegans,Placodermi,Arthrodira,Arthrodira,Torosteidae,1,fusiform,demersal,,,,6.18,0.569999999999999,5.61,,,7.248,6.366,23.06,,,,,0,TRUE,WAM P50914,,,estimated t.l.,1,,Miles and Dennis 1979,,mixed,,
Heintzichthys,gouldii,Placodermi,Arthrodira,Arthrodira,"""Gorgonichthyidae""",1,fusiform,pelagic,,,,24.41,4.387,20.023,,,,,,,,,,0,TRUE,CMNH 5648,adult,,estimated t.l.,1,,Present Study,,measured from specimen,,Weight estimated using orbit-opercular length and girth assuming proportions similar to NHMUK specimen plus tarpon equation from Ault and Luo (2013)
Heintzichthys,gouldii,Placodermi,Arthrodira,Arthrodira,"""Gorgonichthyidae""",1,fusiform,pelagic,,,,19.17,1.869,17.301,,,26.125,21.431,77.67,,,,,0,TRUE,NHMUK PV P 9335,adult,,estimated t.l.,1,,"Heintz 1931, Present Study",Present Study,mixed,,Weight estimated using orbit-opercular length and girth using tarpon equation from Ault and Luo (2013)
Heintzichthys,gouldii,Placodermi,Arthrodira,Arthrodira,"""Gorgonichthyidae""",1,fusiform,pelagic,,,,14.716,,13.55,,,,,,,,,,0,TRUE,CMNH 8037,juvenile,,estimated t.l.,1,,Present Study,,measured from specimen,,
Holonema,westolli,Placodermi,Arthrodira,Arthrodira,Holonematidae,1,fusiform,benthic,60.635,,45.6,9.64,2.075,7.565,,11.385,13.92,17.73,,15.941,25.2,,,0,TRUE,Recon. (Miles 1971),,,total length,1,,"Miles 1971, Trinajstic 1999",,measured from figure/photo,,Mouth width is a slight overestimate due to reconstruction
Incisoscutum,ritchei,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,30.2735539033457,,20.669,5.741,1.076,4.665,4.067,4.54981710503397,5.278,4.6448,,5.8,12.06,,,0,TRUE,Recon. (Trinajstic 2013),,,total length,1,,Trinjastic 2013,,measured from figure/photo,,
Incisoscutum,ritchei,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,5.76,0.997,4.763,,4.39,,,,,,,,0,TRUE,WAM P50929,,,estimated t.l.,1,,Dennis and Miles 1981,,mixed,,Total length estimated assuming similar proportions to other specimens of Incisoscutum and a precaudal/total length ratio similar to Coccosteus
Incisoscutum,ritchei,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,9.12,1.53,7.59,,,7.68,,,,,,,0,TRUE,WAM 86.9.667,,,estimated t.l.,1,,Long 1994,,mixed,,Holotype of Gogosteus sarahae
Latocamurus,coulthardi,Placodermi,Arthrodira,Arthrodira,Camuropiscidae,1,fusiform,neritic,,,,4.6,0.96,3.64,,,3.3,3.1,,,,,,0,TRUE,WAM 86.9.699,,,estimated t.l.,1,,Long 1988,,mixed,,
Mcnamaraspis,kaprios,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,5.63,0.38,5.25,4.28,,6.3,6.4,,,,,,0,TRUE,WAM 86.9.676,,,estimated t.l.,1,,Long 1995,,mixed,,
Millerosteus,minor,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,benthic,14.9480490118577,,,2.96,0.6,2.36,2.07,1.89,2.76,3.62,,3.06,5.6,,,0,TRUE,Composite Millerosteus,,,total length,1,,"Desmond 1974, Newman pers. comm.",,Measured from specimen,,"No complete specimen of Millerosteus could be examined in this study. Instead, composite proportions for this species were estimated from LDUCZ-V998 from Desmond 1974 (reported as C.369 by this author) with total length estimated based on a specimen preserving most of the post-thoracic axial skeleton collected by M. J. Newman. Total length was estimated by scaling from the length from the tip of the snout to the end of the ventral shield in both specimens."
Millerosteus,minor,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,benthic,13.72,,,2.34,0.3,2.04,,,,,,,19.08,,,0,TRUE,FMNH PF 1089,,,total length,1,,Present Study,,Measured from specimen,,"Head is ""splattered"" and separated from body. Total length was estimated as head length plus the length of the thoracic armor from the cranio-thoracic joint to the tip of the tail (which is complete)"
Millerosteus,minor,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,benthic,9.97,,,2.65,0.42,2.23,,,,,,2.08,5.89,,,0,TRUE,FMNH PF 1090,,,total length,1,drop,Present Study,,Measured from specimen,,"Despite having body proportions similar to other specimens of Millerosteus, this specimen has a much shorter tail and the specimen is broken at the caudal vertebrae. This suggests that possibly 2 cm or more of tail are not preserved in this specimen"
Newspecies,Newspecies,Placodermi,Arthrodira,Arthrodira,unknown,1,fusiform,pelagic,63,,48,12.366,2.232,10.134,,8.46,,,,,,,,0,TRUE,CMNH 50233,,,total length,1,,Present Study,,measured from specimen,,"Preserved extent of body suggests 48 cm precaudal length, specimen is glued up to a lengh of about 63 cm, suggesting the fossil extends this far, but the material hasn't been prepped yet."
Paramylostoma,arcualis,Placodermi,Arthrodira,Arthrodira,unknown,1,fusiform,pelagic,,,,15.441,2.524,12.917,,,17.357118287373,13.4352387518142,,13.7377837445573,,,,0,TRUE,CMNH 6054,,,estimated t.l.,1,,"Present Study, Dunkle and Bungart 1945",,mixed,,"Armor depth and width inferred from Figure 3 in Dunkle and Bungart (1945), which is partially based off of this specimen and CMNH 5284"
Pholidosteus,friedeli,Placodermi,Arthrodira,Arthrodira,Pholidosteidae,1,fusiform,,,,,9.61,1.991,7.619,,,,,,,,,,0,TRUE,Recon. (Gross 1932 Pholid.),,,estimated t.l.,1,,Gross 1932,,measured from figure/photo,,
Plourdosteus,canadensis,Placodermi,Arthrodira,Arthrodira,Plourdosteidae,1,fusiform,demersal,37.513,,29.583,8.712,1.115,7.597,7.49,8.27,9.44,8.82,,,23.23,,,0,TRUE,MNHM 2-177,,,total length,1,,Vézina 1988; 1990,,mixed,,
Rhachiosteus,pterygiatus,Placodermi,Arthrodira,Arthrodira,unknown,1,,,,,,1.947,0.387,1.56,,,1.372,,,,,,,0,TRUE,Rhachosteus holotype,,,estimated t.l.,1,,Miles 1966,,measured from figure/photo,,
Rolfosteus,canningensis,Placodermi,Arthrodira,Arthrodira,Camuropiscidae,1,fusiform,neritic,,,,7.32,,,,,3.11,2.96,,,,,,0,TRUE,WAM P50977,,,estimated t.l.,1,,Dennis and Miles 1979,,reported measurements,,
Titanichthys,clarki,Placodermi,Arthrodira,Arthrodira,Titanichthyidae,1,fusiform,pelagic,,,,75.75,,64,,,,,,,,,,0,TRUE,AMNH 7134,,,estimated t.l.,1,,Dean 1909,,measured from figure/photo,,
Titanichthys,clarki,Placodermi,Arthrodira,Arthrodira,Titanichthyidae,1,fusiform,pelagic,,,,64.78,7.53,57.25,,,55,,,,,,,0,TRUE,CMNH 50319,,,estimated t.l.,1,,Boyle and Ryan 2017,,measured from figure/photo,,Using whale shark regression of Matsumoto et al. 2017
Torosteus,pulchellus,Placodermi,Arthrodira,Arthrodira,Torosteidae,1,fusiform,demersal,,,,5.9,0.430000000000001,5.47,4.97,,6.04,5.72,,5.88,,,,0,TRUE,Composite pulchellus,,,estimated t.l.,1,,Gardiner and Miles 1990,,measured from figure/photo,,Dimensions are a composite because no one specimen of T. tuberculatus preserves all of the measurements needed to estimate weight based on an ellipsoid model. All measurements were scaled according to the proportions in the reconstruction to assume they were comparable between individuals
Torosteus,tuberculatus,Placodermi,Arthrodira,Arthrodira,Torosteidae,1,fusiform,demersal,,,,7.02,0.909999999999999,6.11,5.69,,7.68,8.04,,7.24,,,,0,TRUE,Composite tuberculatus,,,estimated t.l.,1,,Gardiner and Miles 1990,,measured from figure/photo,,Dimensions are a composite because no one specimen of T. tuberculatus preserves all of the measurements needed to estimate weight based on an ellipsoid model. All measurements were scaled according to the proportions in the reconstruction to assume they were comparable between individuals
Watsonosteus,fletti,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,56.62,,,11.51,1.73,9.66,,12.46,14.88,,,13.44,26.46,,,0,TRUE,NMS G.1995.4.2,,,total length,1,,"Newman, pers. comm.",,measured from specimen,,
Acanthurus,olivaceus,Actinopterygii,Acanthopterygii,Acanthuriformes,Acanthuridae,0,compressiform,demersal,17,15.866,13.2,3.205,1.638,1.567,3.939,,6.281,,,3,3.792,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Chaetodon,melanotus,Actinopterygii,Acanthopterygii,Acanthuriformes,Chaetodontidae,0,compressiform,demersal,12.4,,10.1,2.87,0.78,2.09,3.5,,6.66,,,2.63,,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Chaetodon,melanotus,Actinopterygii,Acanthopterygii,Acanthuriformes,Chaetodontidae,0,compressiform,demersal,13.3,,11.2,3.15,0.9,2.25,4,,7.1,,,3.01,,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Chaetodon,melanotus,Actinopterygii,Acanthopterygii,Acanthuriformes,Chaetodontidae,0,compressiform,demersal,9.4,,7.6,2.622,0.968,1.654,3.039,,4.797,,,2.553,,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Chaetodon,melanotus,Actinopterygii,Acanthopterygii,Acanthuriformes,Chaetodontidae,0,compressiform,demersal,11.4,,9.3,2.95,0.93,2.02,3.71,,6.31,,,2.94,,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Leiognathus,equula,Actinopterygii,Acanthopterygii,Acanthuriformes,Leiognathidae,0,compressiform,demersal,17.4,15.7,14.3,4.61,1.6,3.01,4.82,,8.09,,,4.79,5,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Luvarus,imperialis,Actinopterygii,Acanthopterygii,Acanthuriformes,Luvaridae,0,fusiform,pelagic,157.827,144.818,132.368,31.855,9.563,22.292,35.56,,44.45,,,30.83,,,95254.3977,1,FALSE,,adult,,total length,1,,Nichols and Helmuth 1940,Nichols and Helmuth 1940,mixed,FALSE,"Weight appears to be approximate. Standard length was reported as 168 cm in Nichols and Helmuth 1940, but based on the published image and the cited proportions of the specimen there is no way this specimen could be 168 cm, even if the fish's body was bent in the image. Additionally, a 168 cm Luvarus would result in a significantly heavier animal than was reported, whereas the photo produces measurements just slightly larger than the specimen figured in Gregory and Conrad 1943"
Luvarus,imperialis,Actinopterygii,Acanthopterygii,Acanthuriformes,Luvaridae,0,fusiform,pelagic,143.39,137.76,125.9,30.9,10.566,20.334,20.136,8.18,44.36,25.78,120.79,31.49,,,90718.474,1,FALSE,,adult,,total length,1,,Gregory and Conrad 1943,Gregory and Conrad 1943,mixed,FALSE,
Luvarus,imperialis,Actinopterygii,Acanthopterygii,Acanthuriformes,Luvaridae,0,fusiform,pelagic,171,165,150,31.826,6.172,25.654,38.358,,42,23.5,,,,,77000,1,FALSE,,adult,,total length,1,,Gül and Ataç 2020,Gül and Ataç 2020,mixed,FALSE,Measurements of head scaled from published photo and body height
Naso,unicornis,Actinopterygii,Acanthopterygii,Acanthuriformes,Acanthuridae,0,compressiform,demersal,33,32.156,28.7,6.768,3.089,3.679,7.535,,12.88,,,6.023,6.424,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Naso,unicornis,Actinopterygii,Acanthopterygii,Acanthuriformes,Acanthuridae,0,compressiform,demersal,47.5,40.601,36,8.396,4.063,4.333,9.352,,15.986,,,7.395,8.307,,1360.77711,1,FALSE,,,,total length,1,,Randall 1997,Randall 1997,measured from figure/photo,FALSE,
Naso,unicornis,Actinopterygii,Acanthopterygii,Acanthuriformes,Acanthuridae,0,compressiform,demersal,32.41,30,24.82,6.72,3,3.72,7.32,,11.56,,,6,6.6,,503,1,FALSE,JNC 2734,,,total length,1,,"J.-L. Justine, pers. comm.","J.-L. Justine, pers. comm.",measured from figure/photo,FALSE,Downloaded from FishBase at https://www.fishbase.de/photos/PicturesSummary.php?StartRow=6&ID=1265&what=species&TotRec=12
Pomacanthus,imperator,Actinopterygii,Acanthopterygii,Acanthuriformes,Pomacanthidae,0,compressiform,demersal,32,,26.8,6.9412,3.09,3.99,9.67,,16.3748,,,6.33,7.16,,1114.4,1,FALSE,HUJ 19899,,,total length,1,,Golani et al. 2010,Golani et al. 2010,mixed,FALSE,
Pomacanthus,imperator,Actinopterygii,Acanthopterygii,Acanthuriformes,Pomacanthidae,0,compressiform,demersal,32.6,,27.6,7.7,3.5,4.2,11.6,,15.4,,,7.1,8.6,,1232,1,FALSE,GAFR 112,,,total length,1,,Capapé et al. 2018,Capapé et al. 2018,mixed,FALSE,
Pomacanthus,imperator,Actinopterygii,Acanthopterygii,Acanthuriformes,Pomacanthidae,0,compressiform,demersal,25.1,,20.8,5.38,2.05,3.33,7.44491525423729,,13.27,,,5.626,5.944,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Pomacanthus,imperator,Actinopterygii,Acanthopterygii,Acanthuriformes,Pomacanthidae,0,compressiform,demersal,25.2,,21.2,5.24,2.146,3.094,6.81081081081081,,12.82,,,5.03,5.65,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,
Channa,argus,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,60.984,,51.392,13.036,1.022,12.014,7.58,,9.517,,,,,,,1,FALSE,,,,total length,1,,Mamilov et al. 2017,,measured from figure/photo,,
Channa,argus,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,40.17,,33.92,10.95616,1.8656,9.09056,,,6.07168,,,,,,627.9,1,FALSE,,,,total length,37,,Mamilov et al. 2017,Mamilov et al. 2017,reported measurements,FALSE,
Channa,gachua,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,12.85,,10.52,3.15,0.47,2.68,,,,,,3.48,,,,1,FALSE,,,,total length,100,,Kumar et al. 2020,,reported measurements,,
Channa,gachua,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,12.63,,10.39,3.12,0.45,2.67,,,,,,3.45,,,,1,FALSE,,,,total length,50,,Kumar et al. 2020,,reported measurements,,
Channa,gachua,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,12.31,,10.16,3.01,0.44,2.57,,,,,,3.31,,,,1,FALSE,,,,total length,50,,Kumar et al. 2020,,reported measurements,,
Channa,punctatus,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,13.7,,11.31,3.98,0.81,3.17,,,2.29,,,4.08,,,28.85,1,FALSE,Lucknow,,,total length,163,,Kashyap et al. 2016,Kashyap et al. 2016,reported measurements,FALSE,
Channa,punctatus,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,12.82,,10.58,3.65,0.64,3.01,,,2.2,,,3.8,,,24.18,1,FALSE,Kolkata,,,total length,30,,Kashyap et al. 2016,Kashyap et al. 2016,reported measurements,FALSE,
Nandus,nandus,Actinopterygii,Acanthopterygii,Anabantiformes,Nandidae,0,fusiform,demersal,12.57,,10.29,4.46,1.42,3.04,3.23,,,,,4.27,,,38.06,1,FALSE,males,,male,total length,279,,Hasan Mredul et al. 2021,Hasan Mredul et al. 2021,reported measurements,FALSE,
Nandus,nandus,Actinopterygii,Acanthopterygii,Anabantiformes,Nandidae,0,fusiform,demersal,13.23,,10.85,4.61,1.47,3.14,3.42,,,,,4.44,,,43.82,1,FALSE,females,,female,total length,300,,Hasan Mredul et al. 2021,Hasan Mredul et al. 2021,reported measurements,FALSE,
Nandus,prolixus,Actinopterygii,Acanthopterygii,Anabantiformes,Nandidae,0,fusiform,demersal,10.152,,8.34,3.32766,0.87850224,2.44915776,2.3769,,3.31932,,,3.31098,3.86976,,,1,FALSE,FMNH 44907,,,total length,1,,Chakrabarty et al. 2006,,mixed,,Length-weight equation for Nandus nandus used. Holotype
Parachanna,obscura,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,28.34,,24.94,7.07,1.81,5.26,,,,,11.67,,,,124,1,FALSE,,,,total length,15,,Vodunnou et al. 2017,Vodunnou et al. 2017,reported measurements,FALSE,
Parachanna,obscura,Actinopterygii,Acanthopterygii,Anabantiformes,Channidae,0,elongate,demersal,26.99,,23.26,6.73,1.73,5,,,,,11.86,,,,117,1,FALSE,,,,total length,15,,Vodunnou et al. 2017,Vodunnou et al. 2017,reported measurements,FALSE,
Atherina,boyeri,Actinopterygii,Acanthopterygii,Atheriniformes,Atherinidae,0,fusiform,demersal,7.936,7.493,6.953,1.533,0.48,1.053,,,1.347,0.96,,,,,3.467,1,FALSE,,,,total length,19,,Benzer 2019,Benzer 2019,reported measurements,,females
Atherina,boyeri,Actinopterygii,Acanthopterygii,Atheriniformes,Atherinidae,0,fusiform,demersal,7.92,7.335,6.86,1.455,0.518,0.937,,,1.278,0.69,,,,,2.801,1,FALSE,,,,total length,16,,Benzer 2019,Benzer 2019,reported measurements,,males
Atherina,boyeri,Actinopterygii,Acanthopterygii,Atheriniformes,Atherinidae,0,fusiform,demersal,6.722,,5.817,1.211,0.411,0.8,,,1.094,0.65,,,,,2.079,1,FALSE,,,,total length,18,,Benzer 2018,Benzer 2018,reported measurements,FALSE,females
